Cluster	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	bkgdID
Macrophages	GO:0050821	protein stabilization	5/195	172/12574	0.12938447034842762	0.5754444521842899	0.525776861588125	Chp1/Irgm1/Pten/Mfsd1/Ncor1	5	Apbb1/Apbb2/Apoa2/Atp1b1/Atp1b2/Atp1b3/Bag1/Phb2/Calr/Caml/Ctnnd1/Cct2/Cct3/Cct4/Cct5/Cct6a/Cct7/Cct8/Cdc37/Cdk7/Cdkn2a/Clu/Creb1/Cryab/Dsc3/Dvl1/Dvl3/Efna1/Flot1/Flot2/Gapdh/Gnaq/Grn/Hcfc1/Hspd1/Hspa1b/Hsp90ab1/Hsp90aa1/Irgm1/Igf1/Igtp/Cd74/Lamp1/Lamp2/Smad3/Smad7/Msx1/Nlk/Npm1/Per3/Pfn1/Pfn2/Phb/Pik3r1/Pim1/Pim2/Pml/Ppib/Pten/Pex19/Rps7/Ncor1/Ncor2/Sox17/Sox4/Stxbp1/Tbl1x/Tbrg1/Tcf3/Tcp1/Trp53/Tyrobp/Ube2b/Sumo1/Usp9x/Wfs1/Wiz/Wnt10b/Zfp207/Pin1/Prkra/Bag3/Hip1r/Mapk8ip3/Fbxw7/Prkn/Chek2/Nckap1/Dnlz/Usp2/Atf7ip/Usp27x/Stk3/Rassf1/Ptges3/Chp1/P3h1/Pdcd10/Crtap/Glmp/Park7/Golga7/Usp29/Tesc/Stk4/Sav1/Tsc1/Rpl23/Ifi30/Mcm8/Ccnh/Mfsd1/Naa16/Swsap1/Tmem88/Rpl11/Cdc37l1/Bag4/Rabl3/Hypk/Plpp3/Sugt1/Nop53/Mul1/Gpihbp1/Rtn4/Pdcl3/Pink1/Gtpbp4/Zswim7/Bag5/Usp19/Telo2/Zbed3/Usp36/Otud3/Syvn1/Naa15/Trim39/Trim44/Dnaja3/Stx12/Ncln/Taf9/Ank2/Usp33/Flna/Hps4/Wdr81/Hspa1a/Mtrr/Mtmr9/Bag2/Hip1/Rassf2/Rab21/Bag6/Pex6/Rab3gap1/Ipo9/Sec16a/Tnip2/Crebl2/Cog7/Usp7/Aak1/Smo/Ep300/Cog3/Morc3/Taf9b/Rpl5
Macrophages	GO:0048871	multicellular organismal homeostasis	9/195	378/12574	0.13395827300173507	0.5754444521842899	0.525776861588125	Nkiras2/Bsg/Ogt/Tfe3/Kras/Ncor1/Dync1h1/Csk/Plec	9	Acadl/Acadvl/Acp5/Adipoq/Acvr2b/Adam17/Adam8/Adcy6/Add1/Adrb1/Adrb2/Angpt1/Alpl/Akr1b3/Alox12/Ampd3/Fabp4/Apbb2/Apc/Xiap/Aqp1/Aqp7/Arntl/Atf4/Atp1b2/Bax/Bcl2/Bsg/Car2/Ctnnb1/Cav1/Cd34/Cd36/Cd38/Cd7/Cdh1/Cebpb/Cidea/Coro1a/Clcn3/Cldn1/Cldn5/Tpp1/Cxcr4/Ccr2/Ccr5/Cnr1/Col11a2/Col14a1/Col3a1/Comp/Cpt2/Csf1/Csf1r/Csk/Ctsh/Ctss/Cxadr/Ddit3/Dll1/Dync1h1/Drd1/S1pr1/Ednrb/Egr1/Epas1/Ext1/Ext2/F2r/Acsl1/Fh1/Ccn2/Lpin1/Flt3/Flt3l/G0s2/Gata2/Gba/Gcnt2/Gja1/Gnas/Bscl2/Cmklr1/Gpr3/Gpx1/Grb10/Hadh/Hdac3/Hfe/Hsf1/Hyal2/Id1/Idua/Igf1r/Il15/Il18/Il1a/Il1b/Il1rn/Il18r1/Il4/Il4ra/Il6/Il7/Inpp5d/Irf4/Irx3/Itgav/Itgb1/Itgb3/Jak2/Napsa/Kdr/Fabp5/Klf4/Kras/Stmn1/Lama4/Lcn2/Ldb1/Ldb2/Lepr/Lipa/Lrp6/Ltbp3/Muc13/Mfap2/Mbp/Mdm1/Met/Foxc1/Map1a/Mtf1/Ndn/Nf1/Nr4a3/Nos3/Notch1/Npr3/Slc11a1/Slc11a2/Tnfrsf11b/Sqstm1/P2rx7/Pctp/Pdgfrb/Enpp1/Pemt/Per2/Abcb1a/Pik3ca/Prkca/Pla2g4a/Plec/Pparg/Inpp5k/Prkab1/Prlr/Ptger3/Ptger4/Ptgs1/Ptgs2/Pthlh/Ptk2b/Ptpn11/Rab3d/Rab7/Rac1/Rac2/Rb1/Rbpj/Rheb/Ncor1/Scd1/Scnn1a/Ccl5/Slc12a2/Slc22a5/Ncor2/Sod1/Sox9/Spp1/Src/Srf/Stat3/Stat6/Stk11/Strap/Suv39h1/Syk/Tgfb1/Thra/Tjp1/Tjp2/Tle3/Tlr4/Tnf/Tnfrsf11a/Tnfsf11/Traf6/Trf/Tfrc/Tshr/Ubb/Ucp2/Ugcg/Nr1h3/Nr1h2/Vegfa/Vhl/Trpv2/Wfs1/Wnt10b/Yap1/Zbtb7b/Adamts5/Akt3/Def8/Gadd45g/Oas1g/Ceacam1/Esrrg/Fto/Map2k6/Slc27a1/Homer1/Homer2/Ncdn/Cln8/Tcirg1/Pdk4/Tjp3/Ip6k1/Abca3/Trpm2/Apln/Sirt6/Rcn3/Stk39/Slc40a1/Lsr/Elovl1/Pdgfc/Prdx5/Sfn/Cib2/Mkks/Trpv4/Ptges/Abhd6/Hamp2/Acot13/Zfp830/Oma1/Gatm/Dram2/Dock7/Bbs2/Decr1/Slc39a8/Rpa1/Adipor2/Trp53inp2/Nkiras1/Trim32/Crtc3/Prdm16/Tmem79/Nkiras2/Snx10/Prcp/Pgam5/Adipor1/Ubash3b/Whrn/Nphp3/Sash3/Nxnl2/Chmp4b/Lca5/Ankrd11/Usp45/Ehmt1/Tlr9/Gimap3/Gpr137b/Hamp/Sirt1/Zfp423/Wwtr1/Stard7/Kdm1a/Tmem64/Acacb/Rrp8/Bbs4/Kdm3a/Bap1/Spata7/Arrdc3/Prkaa1/Ildr1/Gpr137/Ffar4/Acaca/Lgr4/Prkab2/Ogt/Ampd2/Adgrv1/Oas1c/Elovl6/Mfn2/Rac3/Ppargc1b/Grhl1/Eif4g1/Tns2/Tfe3/Metrnl/Lpcat1/Pm20d1/Il20rb/Kmt2a/Appl2/Cep290/Flcn/Dhrs7b/Kdm6b/Nr1d1/Akap11/Btbd9/Adgrf5/Plcl2/Wdr36/Plcl1/Gigyf2/Slc25a44/Nrd1/Crocc/Cytl1/Plac8/Gak/Tmem119/Cyp26b1/Cnot3/Lrrk1/Alms1/C1qtnf9/Lnpep/Mex3c/Napepld/Tsku/Vps54/Mllt6/Fcgr4/Oas1a/Nod2/Abat/Slc28a2/Gimap5/Smo/Ercc6/Iqcb1/Zfp516/Acot11/Piwil4/Ksr2/Cngb1/Plekhm1/Nr1d2/Mks1/Crtc1/Poc1b/Nova2/Nova1/Ildr2/Fcor
Macrophages	GO:0031647	regulation of protein stability	7/195	274/12574	0.13434250385158272	0.5754444521842899	0.525776861588125	Chp1/Irgm1/Pten/Mdm2/Mfsd1/Kras/Ncor1	7	Apbb1/Apbb2/Apoa2/Atp1b1/Atp1b2/Atp1b3/Bag1/Phb2/Bcl2/Bmp2/Btrc/Calr/Caml/Capn3/Casp3/Ctnnd1/Cct2/Cct3/Cct4/Cct5/Cct6a/Cct7/Cct8/Cd81/Cdc37/Cdk7/Cdkn2a/Clu/Creb1/Crebbp/Cryab/Ctsh/Dad1/Ddost/Dpm2/Dsc3/Dvl1/Dvl3/Efna1/Flot1/Flot2/Gapdh/Kat2a/Gnaq/Grn/Hcfc1/Hdac3/Hdac6/Htt/Hspa8/Hspd1/Hspa1b/Hsp90ab1/Hsp90aa1/Id1/Irgm1/Igf1/Igtp/Cd74/Kras/Lamp1/Lamp2/Lmna/Lss/Smad3/Smad7/Mdm2/Msx1/Commd1/Nf2/Nlk/Npm1/Per3/Pfn1/Pfn2/Phb/Pik3r1/Pim1/Pim2/Prkd1/Plk1/Pml/Ctsa/Ppib/Prkdc/Prnp/Pten/Pex19/Pex2/Rad23a/Rps7/Ncor1/Siah1a/Siah1b/Ncor2/Sox17/Sox4/Src/Srebf1/Trim21/Aurka/Stxbp1/Tbl1x/Tbrg1/Tcf3/Tcp1/Trim24/Trp53/Tyrobp/Ube2b/Sumo1/Usp4/Usp9x/Wfs1/Wiz/Wnt10b/Xbp1/Zfp207/Pin1/Prkra/Cul3/Ubl4a/Bag3/Hip1r/Mapk8ip3/Sirt6/Fbxw7/Fbxl3/Prkn/Chek2/Nckap1/Dnlz/Usp2/Rnf5/Atf7ip/Otud5/Usp27x/Stk3/Rassf1/B4galt5/Ptges3/Chp1/P3h1/Stub1/Pdcd10/Crtap/Glmp/Park7/Golga7/Tmem183a/Usp29/Tesc/Stk4/Dact1/Sav1/Tsc1/Rpl23/Vps35/Ifi30/Asph/Tomm7/Aptx/Mcm8/Ccnh/Lrrk2/Pycard/Mfsd1/Naa16/Swsap1/Tmem88/Rpl11/Ndc80/Cdc37l1/Cmtm6/Bag4/Isoc2b/Get4/Rabl3/Hypk/Rnf149/Derl1/Gipc1/Plpp3/Sugt1/Nop53/Ccdc88c/Mul1/Gpihbp1/Dpm3/Rtn4/Ddi2/Pdcl3/Pink1/Gtpbp4/Zswim7/Fbxo7/Hdac8/Bag5/Ubr5/Cdkn2aip/Usp19/Telo2/Zbed3/Usp36/Pinx1/Otud3/Syvn1/Naa15/Usp47/Senp2/Rnf139/Qrsl1/Ift46/Ddrgk1/Trim39/Trim44/Nedd4l/Dnaja3/Usp8/Sirt1/Stx12/Tada3/Ncln/Fbxw11/Fbxo4/Taf9/Ank2/Adgrv1/Usp33/Flna/Hps4/Wdr81/Hspa1a/Mtrr/Mtmr9/Bag2/Cdc73/Hip1/Utp25/Rassf2/Rab21/Tada2a/Nr1d1/Mylip/Ccar2/Bag6/Pex6/Rab3gap1/Ipo9/Usp40/Sec16a/Gsn/Cenpe/Tardbp/Tnip2/Chfr/Crebl2/Insc/Mosmo/Cog7/Usp28/Usp3/Gnl3l/Usp7/Gga3/Aak1/Smo/Ep300/Cog3/Morc3/Serf2/Taf9b/Isoc2a/Rpl5
Macrophages	GO:0098754	detoxification	2/195	42/12574	0.13793329362945186	0.5754444521842899	0.525776861588125	Gch1/Selenot	2	Adh5/Aldh2/Prdx6/Atp7a/Cat/Ccs/Cd36/Dhfr/Esd/Gch1/Gstm5/Abcc1/Rdh11/Mpo/Mt1/Mt2/Nfe2l2/Nnt/Nos3/Slc22a18/Prdx1/Abcb1b/Abcb1a/Pim1/Ralbp1/Sod1/Sod2/Sod3/Prdx2/Slc30a1/Fbln5/Abcg2/Adh4/Abcg3/Park7/Akr1a1/Gstm7/Selenot/Abcb6/Rdh12/Sesn1/Oscp1
Macrophages	GO:0060537	muscle tissue development	8/195	330/12574	0.1415661269557741	0.5754444521842899	0.525776861588125	Pten/Rara/Tsc22d3/Nr3c1/Arrb2/Ppp3ca/Plec/Sap30	8	Acadm/Chrna1/Acta1/Actc1/Acvr1/Parp2/Adrb1/Adrb2/Angpt1/Ahr/Slc25a4/Apc/Speg/Atg5/Nr2f2/Rhoa/Arntl/Atf3/Bcl2/Bmp2/Bmp5/Bmp7/Bmpr1a/Smyd1/Klf5/Btg2/Cacna1s/Cacybp/Capn3/Casp8/Ctnnb1/Cav1/Cav2/Cdk1/Cdc42/Cdk5/Cfl2/Cflar/Col14a1/Col3a1/Cops2/Creb1/Csrp1/Csrp2/Cxadr/Ddx5/Dlg1/Dll1/Dmd/Dsg2/S1pr1/Edn1/Ednra/Efnb2/Egr1/Egr2/Eln/Emd/Eng/Epor/Erbb3/Eya1/Eya2/Fadd/Fgf1/Fgf2/Fgfr1/Fkbp1a/Foxn2/Flot1/Fos/Fzd7/G6pdx/Gata6/Kat2a/Tsc22d3/Gja1/Gja5/Gjc1/Gli1/Gpc1/Gpx1/Nr3c1/Hdac2/Hdac3/Hdac5/Hdac6/Hey1/Hey2/Hlx/Hmg20b/Hmgcr/Nr4a1/Hoxd10/Hoxd9/Prmt1/Hspg2/Id2/Ifrd1/Igf1/Igf2/Igfbp5/Irx3/Itgb1/Jarid2/Hivep3/Lef1/Lmna/Lox/Lrp6/Ly6e/Smad1/Smad3/Smad4/Smad7/Maff/Nprl3/Mef2a/Mef2c/Mef2d/Meg3/Meis1/Meox2/Met/Foxc1/Cited2/Sik1/Mtm1/Mybpc3/Myc/Myh11/Myl6/Mylpf/Naca/Ncam1/Nf1/Nfatc3/Notch1/Nrap/Nras/Pak1/Pax5/Pdgfrb/Pim1/Plec/Pmp22/Med1/Ppp3ca/Prkar1a/Mapk11/Prox1/Pten/Aldh1a2/Rara/Rb1/Rbpj/Rgs2/Rgs4/Rxra/Rxrb/Ryr1/S100b/Sema3c/Shox2/Sin3b/Six1/Ski/Skil/Slc8a1/Slc9a1/Sox11/Sox6/Sox9/Srf/Tbx1/Tbx3/Tcap/Tcf7l2/Tgfb1/Tgfb2/Tgfbr1/Tgfbr2/Tgfbr3/Ift88/Tnni3/Tpm1/Ttn/Twist1/Vegfa/Wnt10b/Wnt5a/Yap1/Yy1/Zfand5/Zfpm1/Zfpm2/Grem1/Tenm4/Osr1/Pin1/Sgcb/Sgcd/Map2k4/Mapk1/Mapk14/Psma6/Homer1/Dysf/Tomm70a/Zbtb18/Schip1/Sirt6/Hnrnpu/Usp2/Vamp5/Ddx39b/Dll4/Nphs1/Rcan1/Ift20/Hdac7/Nupr1/Pdlim5/Ybx3/Srpk3/Gsk3b/Ankrd2/Mtor/Mbnl1/Med20/Bin3/Cdon/Efemp2/Jph2/Sap30/Ube4b/Sav1/Sirt2/Tsc1/Asb2/Snw1/Hamp2/Luc7l/Ddx17/Uqcc2/Ctdp1/Akirin1/Dipk2a/Ptcd2/Gtf3c5/Zfp689/Usp19/Fbxo22/Rps6kb1/Ndufv2/Ccnt2/Cby1/Pi16/Gpcpd1/Atg7/Selenon/Akap13/Nln/Tbx18/2810429I04Rik/Arid2/Heg1/Bcl9/Myh10/Hdac9/Bcl9l/Hamp/Sirt1/Arid1a/Tiparp/Adamts9/Maml1/Cdk20/Prkaa1/Trip10/Mylk/Cenpf/Camk2d/Foxp1/Fdps/Egln1/Foxp2/Dicer1/Ripor2/Hdac4/Nrg1/Spg11/Myl6b/Flcn/Kdm6b/Arrb2/Hlf/Rarb/Poglut1/Lemd2/Svil/Pgm5/Klhl41/Mettl8/Ccm2l/Zmpste24/Cyp26b1/Vgll4/Lncpint/Zfp418/Sorbs2/Stac3/Mrtfb/Itga8/Tshz3/AW551984/Ccnb1/Ephb1/Flnb/Smo/Chd7/Frs2/Ep300/Myorg/Nr1d2/Lemd3/Zfp950/Mettl21c/Bvht/Gsk3a
Macrophages	GO:0030593	neutrophil chemotaxis	3/195	84/12574	0.14168579282471827	0.5754444521842899	0.525776861588125	Bsg/Pde4b/Itgb2	3	Bst1/Bsg/C1qbp/C3ar1/C5ar1/Cxcr2/Ccr7/Csf3r/Cxadr/Dapk2/Dpep1/Dpp4/Edn1/Ednra/Fcer1g/Fcgr3/Slc37a4/Cxcl1/Cxcl10/Cd74/Il1b/Itgam/Itgb2/Lbp/Lgals3/Mdk/Cxcl9/Mpp1/Pde4b/Pikfyve/Prkca/Ccl21a/Ppib/Rac1/Rac2/S100a8/S100a9/Ccl11/Ccl12/Ccl17/Ccl2/Ccl20/Ccl25/Ccl3/Ccl4/Ccl5/Ccl6/Ccl7/Ccl8/Ccl9/Cxcl2/Cxcl5/Cx3cl1/Sell/Spp1/Syk/Tnfaip6/Vav1/Ccl19/Dysf/Cxcl13/Pf4/Vav3/Trem1/Trem3/Dnm1l/Cklf/Mospd2/Jam3/Itga9/Nckap1l/Gbf1/Itga1/Tirap/Ripor2/Mcu/Camk1d/Pde4d/Nod2/Ppia/Jaml/Prex1/C5ar2/Cxcl3
Macrophages	GO:0044283	small molecule biosynthetic process	9/195	383/12574	0.1416928632804378	0.5754444521842899	0.525776861588125	Nfkb1/Pgp/Ogt/Lbr/Nr3c1/Gch1/Maea/Coq2/Rest	9	Abca2/Abcg1/Acadl/Acadm/Acadvl/Adipoq/Ada/Adk/Ak1/Abcd1/Aldoa/Akr1b3/Alox12/Alox15/Alox8/Alox5/Alox5ap/Apoc1/Apoc2/Apoe/Aprt/Asah1/Ass1/Atf3/Atf4/Bcat2/Bmp2/Bmp5/Brca1/Clcn2/Clk2/Cln3/Coq7/Cry1/Cyp2j6/Cyp27b1/Cyp51/Cyp7b1/Dab2/Pcbd1/Ddb1/Degs1/Dhcr7/Dhfr/Ebp/Edn1/Egr1/Eno2/Ephx1/Fasn/Fdft1/Fdxr/Fgf1/Fgf2/G6pdx/Gamt/Gapdh/Gba/Gch1/Kat2a/Gpd1/Gpd2/Gfi1/Glul/Gls/Got1/Got2/Gpi1/Lpcat3/Nr3c1/Gstm4/Gstp2/Gstp1/Gsto1/H2-Ke6/Hsd17b10/Htt/Hif1a/Hmgcl/Hmgcr/Hmgcs2/Lipc/Hprt/Hsd17b7/Cd74/Il1b/Il6/Eif6/Fabp5/Ldha/Ldhb/Lepr/Lhcgr/Lipg/Anxa1/Lpl/Lss/Lta4h/Ltc4s/Amacr/Mif/Mpo/Sik1/Mthfr/Mvk/Myo5a/Nfkb1/Cd244a/Nnmt/Nsdhl/P2ry1/Kat2b/Pcx/Pdk2/Per2/Pgk1/Pkm/Pla2g4a/Plcd1/Plcg1/Plp1/Pltp/Pnp/Por/Prkab1/Prkag1/Prox1/Prps1/Ptafr/Ptgds/Ptgs1/Ptgs2/Ptk2b/Ptpn2/Pts/Abcd3/Pex2/Qk/Aldh1a2/Ranbp2/Rbp1/Rest/Scd1/Scd2/Scp2/Sord/Shmt1/Slc1a3/Snai2/Snai1/Sod1/Sphk1/Spp1/Spr/Sephs2/Sptlc2/Srebf1/Srebf2/Star/Stk11/Syk/Tbxas1/Tcf7l2/Tnf/Tpi1/Ugdh/Nr1h3/Nr1h2/Uros/Wnt4/Ggt5/Mgll/Nt5e/Ceacam1/Decr2/Gnpda1/Mapk9/Plod2/Plod3/Abcd2/Mecr/Asns/Pdk4/Srr/Ip6k1/Vkorc1/Fam3c/Tpk1/Hacd1/Dkkl1/Dkk3/Nus1/Pibf1/Coq5/Sco1/Prg3/Elovl1/Rfk/Asah2/Hpgds/Abhd2/Pgam2/Cyp39a1/Pdss1/Plek/Ptges3/Apip/Aldh18a1/Foxo1/Fads2/Sphk2/Mlycd/Supt20/Aldh1a3/Park7/Srd5a3/Hacd3/Slc35b4/Akr1a1/Maea/Stard3/Arpp19/Acss2/Fads3/Ptges/Ndufa9/Acer3/Pycrl/Msmo1/Fam3a/Mgst3/Prxl2b/Pgm2/Hacd4/Mtap/Pgp/Gatm/Nanp/C1qtnf12/Dhdds/Coq8a/Hoga1/Pnpla8/Aasdhppt/Dgat2/Enoph1/Mri1/Coq10b/Coq9/Mid1ip1/Gstm7/Sirt5/G6pc3/Pmvk/Ppp4r3a/Acss1/Elovl5/Pycr2/Ipmk/Cad/Acot7/Ndufab1/Hacd2/Kynu/Oxsm/Noxred1/Pdss2/Ubiad1/Tha1/Isyna1/Coq2/Prmt3/Pcbd2/Insig2/Tm7sf2/Acsl3/Crtc2/Pck2/Elovl7/Dhcr24/Ippk/Nln/Adal/Fads1/Gpt/Ip6k2/Gper1/Coq8b/Chst15/Lias/Sirt1/Ptges2/Kmo/Lbr/Rdh10/H6pd/Psph/Acacb/Upb1/Pnpo/Zfp692/Cyp27a1/Acly/Kdm3a/Ppp4r3b/Sptssa/Adi1/Prkaa1/Tecr/Carns1/Psat1/Acaca/Haao/Shmt2/Prkab2/Prkag2/Ogt/Mthfd1/Sephs1/Cyb5r3/Asl/Fdps/Pgd/Qdpr/Dgkq/Pecr/Wdr5/Elovl6/Stard4/Mvd/Hmgcs1/Sirt7/Pycr1/Mtrr/Coq10a/Mgst2/Slc45a3/Slc39a14/Pdxk/Ilvbl/Nr1d1/Coq6/Mcat/Erlin1/Lpgat1/Ppip5k2/Coq4/Trib3/Coq3/Acer2/Sesn2/Wdtc1/Insig1/Daglb/Itpkc/P2ry6/Cbr4/Plcg2/Sc5d/Scap/Phgdh/Mtr/Liph/Dhrs9/Cyp2r1/Erlin2/Csad/Usp7/Acsf3/Sdsl/Sptlc1/Abat/Mthfd1l/Ip6k3/Itpkb/Soga1/Pptc7/Ppip5k1/Fads6/Prps1l3/Ep300/Atp2b4/Mthfd2l
Macrophages	GO:0014733	regulation of skeletal muscle adaptation	1/195	10/12574	0.14474312617777663	0.5754444521842899	0.525776861588125	Ppp3ca	1	Atp2a2/Gtf2i/Igfbp5/Nfatc1/Ppp3ca/Tead1/Tnnt1/Mtor/Gtf2ird1/Gtf2ird2
Macrophages	GO:0030157	pancreatic juice secretion	1/195	10/12574	0.14474312617777663	0.5754444521842899	0.525776861588125	Madd	1	Copa/Mmp13/Npr3/Sct/Nr1h3/Nr1h2/Vamp8/Stk39/Madd/Wnk1
Macrophages	GO:0030948	negative regulation of vascular endothelial growth factor receptor signaling pathway	1/195	10/12574	0.14474312617777663	0.5754444521842899	0.525776861588125	Pdcd6	1	Cd59a/Epn2/Hgs/Hhex/Nedd4/Pdcd6/Ptpn1/Dab2ip/Emilin1/Mmrn2
Macrophages	GO:0031293	membrane protein intracellular domain proteolysis	1/195	10/12574	0.14474312617777663	0.5754444521842899	0.525776861588125	Psen1	1	Adam9/Psen1/Tgfb1/Ncstn/Psenen/Sppl2a/Sppl2b/Rhbdd1/Aph1a/Mbtps2
Macrophages	GO:0031642	negative regulation of myelination	1/195	10/12574	0.14474312617777663	0.5754444521842899	0.525776861588125	Pten	1	Ctsc/Eif2ak3/Lpin1/Pten/Jam2/Mtmr2/Tnfrsf21/Fig4/Tmem98/Klk8
Macrophages	GO:0042359	vitamin D metabolic process	1/195	10/12574	0.14474312617777663	0.5754444521842899	0.525776861588125	Nfkb1	1	Cyp27b1/Fgfr1/Gfi1/Nfkb1/Enpp1/Snai2/Snai1/Tnf/Cyp27a1/Cyp2r1
Macrophages	GO:0050910	detection of mechanical stimulus involved in sensory perception of sound	1/195	10/12574	0.14474312617777663	0.5754444521842899	0.525776861588125	Rest	1	Hpn/Kcnq1/Kit/Myc/Rest/Slc12a2/Mkks/Whrn/Adgrv1/Pjvk
Macrophages	GO:0051938	L-glutamate import	1/195	10/12574	0.14474312617777663	0.5754444521842899	0.525776861588125	Psen1	1	Itgb1/Kcnj10/Per2/Psen1/Slc1a2/Slc1a3/Slc7a11/Cln8/Arl6ip1/Arl6ip5
Macrophages	GO:0060134	prepulse inhibition	1/195	10/12574	0.14474312617777663	0.5754444521842899	0.525776861588125	Pten	1	Adora2a/Dvl1/Grin1/Nrxn1/Pten/Bace1/Dbn1/Chd8/Aph1c/Aph1b
Macrophages	GO:0061635	regulation of protein complex stability	1/195	10/12574	0.14474312617777663	0.5754444521842899	0.525776861588125	Irgm1	1	Hspa8/Irgm1/Igtp/Sqstm1/Tapbp/Ecsit/Snf8/Scoc/Ncln/Trappc11
Macrophages	GO:0070989	oxidative demethylation	1/195	10/12574	0.14474312617777663	0.5754444521842899	0.525776861588125	Tet2	1	Fto/Tet1/Alkbh3/Alkbh4/Jmjd6/Tet3/Alkbh1/Tet2/Alkbh2/Alkbh5
Macrophages	GO:0098712	L-glutamate import across plasma membrane	1/195	10/12574	0.14474312617777663	0.5754444521842899	0.525776861588125	Psen1	1	Itgb1/Kcnj10/Per2/Psen1/Slc1a2/Slc1a3/Slc7a11/Cln8/Arl6ip1/Arl6ip5
Macrophages	GO:0098734	macromolecule depalmitoylation	1/195	10/12574	0.14474312617777663	0.5754444521842899	0.525776861588125	Abhd17b	1	Lypla1/Ppt1/Lypla2/Abhd13/Abhd17c/Abhd12/Abhd10/Abhd17a/Abhd17b/Lyplal1
Macrophages	GO:1901841	regulation of high voltage-gated calcium channel activity	1/195	10/12574	0.14474312617777663	0.5754444521842899	0.525776861588125	Pde4b	1	Cacna2d1/Cacnb2/Cacnb3/Nipsnap2/Gem/Pde4b/Dysf/Rrad/Nos1ap/Sri
Macrophages	GO:1903727	positive regulation of phospholipid metabolic process	1/195	10/12574	0.14474312617777663	0.5754444521842899	0.525776861588125	Chp1	1	Apoc2/Capn2/Fabp3/Pcx/Prkcd/Chp1/Stoml2/Rab38/Acsl3/Adgrf5
Macrophages	GO:1903961	positive regulation of anion transmembrane transport	1/195	10/12574	0.14474312617777663	0.5754444521842899	0.525776861588125	Psen1	1	Itgb1/Abcb1b/Abcb1a/Psen1/Ptafr/Arl6ip1/Fxyd1/Ace2/Tcaf1/Slc36a2
